Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2019-02-01T00:00:00.000Z,"6,968.90","7,261.60","6,968.90","7,074.70",1.52,1.01,"13,26,32,89,400"
2019-03-01T00:00:00.000Z,"7,074.70","7,370.60","7,074.70","7,279.20",2.89,2.38,"15,18,60,32,200"
2019-03-31T23:00:00.000Z,"7,279.20","7,528.90","7,279.20","7,418.20",1.91,1.4,"13,28,76,24,400"
2019-04-30T23:00:00.000Z,"7,418.20","7,446.50","7,130.90","7,161.70",-3.46,-3.97,"15,29,50,61,400"
2019-06-02T23:00:00.000Z,"7,161.70","7,469.20","7,079.70","7,425.60",3.68,3.17,"14,11,26,62,400"
2019-06-30T23:00:00.000Z,"7,425.60","7,727.50","7,425.60","7,586.80",2.17,1.66,"14,24,47,48,100"
2019-07-31T23:00:00.000Z,"7,586.80","7,610.00","7,020.20","7,207.20",-5,-5.52,"15,93,74,35,200"
2019-09-01T23:00:00.000Z,"7,207.20","7,440.80","7,199.40","7,408.20",2.79,2.28,"15,85,54,77,100"
2019-09-30T23:00:00.000Z,"7,408.20","7,433.20","7,004.40","7,248.40",-2.16,-2.67,"18,28,00,51,200"
2019-11-01T00:00:00.000Z,"7,248.40","7,446.00","7,197.30","7,346.50",1.35,0.84,"14,29,40,70,300"
2019-12-02T00:00:00.000Z,"7,346.50","7,665.40","7,131.20","7,542.40",2.67,2.15,"14,58,10,87,800"
